repo,model,layer_id,layer_name,layer_kind,load_cycles,compute_cycles,store_cycles
repo3,resnet19,0,"layer1.0.conv1",conv,6192,112712,9388
repo3,resnet19,1,"layer1.0.conv2",conv,9576,171030,7117
repo3,resnet19,2,"layer1.1.conv1",conv,11579,211114,7496
repo3,resnet19,3,"layer1.1.conv2",conv,8380,147354,4935
repo3,resnet19,4,"layer1.2.conv1",conv,11524,210262,6070
repo3,resnet19,5,"layer1.2.conv2",conv,10671,193069,6642
repo3,resnet19,6,"layer2.0.conv1",conv,8142,125075,2902
repo3,resnet19,7,"layer2.0.conv2",conv,11381,153010,2226
repo3,resnet19,8,"layer2.1.conv1",conv,16619,257587,3956
repo3,resnet19,9,"layer2.1.conv2",conv,9885,123193,2335
repo3,resnet19,10,"layer2.2.conv1",conv,21021,345704,4567
repo3,resnet19,11,"layer2.2.conv2",conv,15871,242801,5225
repo3,resnet19,12,"layer3.0.conv1",conv,34656,209188,2026
repo3,resnet19,13,"layer3.0.conv2",conv,26287,350540,2023
repo3,resnet19,14,"layer3.1.conv1",conv,29075,309490,1997
repo3,resnet19,15,"layer3.1.conv2",conv,32067,280204,1951
repo3,resnet19,16,"fc2",fc,224,375,6
