repo,model,layer_id,layer_name,layer_kind,load_cycles,compute_cycles,store_cycles
repo3,vgg16,0,"features.3",conv,18843,360249,44352
repo3,vgg16,1,"features.7",conv,5536,99690,13166
repo3,vgg16,2,"features.10",conv,11210,203757,20763
repo3,vgg16,3,"features.14",conv,6538,92784,4011
repo3,vgg16,4,"features.17",conv,10741,140061,4714
repo3,vgg16,5,"features.20",conv,10891,143103,4191
repo3,vgg16,6,"features.24",conv,81418,82640,1561
repo3,vgg16,7,"features.27",conv,89335,155904,2616
repo3,vgg16,8,"features.30",conv,90143,155220,2588
repo3,vgg16,9,"features.34",conv,7230,58336,1051
repo3,vgg16,10,"features.37",conv,21145,42657,789
repo3,vgg16,11,"features.40",conv,42206,18929,499
repo3,vgg16,12,"classifier",fc,435,496,0
