model,layer_id,layer_name,layer_kind,isb_accesses,filter_accesses,output_accesses,total_cycles
vgg16,0,"features.3",conv,358102,358102,41775,423444
vgg16,1,"features.7",conv,99144,99144,12417,118392
vgg16,2,"features.10",conv,203235,203235,19656,235730
vgg16,3,"features.14",conv,92522,92522,3790,103333
vgg16,4,"features.17",conv,139794,139794,4465,155516
vgg16,5,"features.20",conv,142842,142842,3959,158185
vgg16,6,"features.24",conv,82512,82512,1479,165619
vgg16,7,"features.27",conv,155776,155776,2485,247855
vgg16,8,"features.30",conv,155092,155092,2457,247951
vgg16,9,"features.34",conv,58304,58304,998,66617
vgg16,10,"features.37",conv,42624,42624,750,64591
vgg16,11,"features.40",conv,18896,18896,473,61634
vgg16,12,"classifier",fc,494,494,0,931
